timestamp,open,high,low,close,volume
2025-04-24 10:00:00+00:00,2.1479,2.1587,2.1423,2.1564,6221992.2
2025-04-24 11:00:00+00:00,2.1564,2.1574,2.141,2.1555,4869074.5
2025-04-24 12:00:00+00:00,2.1556,2.1692,2.1514,2.1689,6411786.9
2025-04-24 13:00:00+00:00,2.1689,2.2216,2.1632,2.1817,25307995.7
2025-04-24 14:00:00+00:00,2.1817,2.1999,2.1524,2.1882,18690244.0
2025-04-24 15:00:00+00:00,2.1883,2.2354,2.1851,2.2126,18856857.0
2025-04-24 16:00:00+00:00,2.2126,2.2281,2.2094,2.2114,8911601.1
2025-04-24 17:00:00+00:00,2.2114,2.2191,2.1828,2.1998,8173288.1
2025-04-24 18:00:00+00:00,2.1998,2.2121,2.1959,2.2017,3849409.8
2025-04-24 19:00:00+00:00,2.2018,2.2097,2.1918,2.2056,2605832.9
2025-04-24 20:00:00+00:00,2.2056,2.2132,2.198,2.2019,4046888.7
2025-04-24 21:00:00+00:00,2.202,2.206,2.1864,2.2001,3126538.8
2025-04-24 22:00:00+00:00,2.2001,2.2062,2.1885,2.1927,2923837.4
2025-04-24 23:00:00+00:00,2.1927,2.2109,2.1908,2.2049,3924732.7
2025-04-25 00:00:00+00:00,2.2049,2.2067,2.195,2.2008,3176455.9
2025-04-25 01:00:00+00:00,2.2009,2.2174,2.1912,2.1926,7234332.5
2025-04-25 02:00:00+00:00,2.1926,2.1988,2.1634,2.1704,8297847.9
2025-04-25 03:00:00+00:00,2.1704,2.1874,2.1649,2.1812,5926125.3
2025-04-25 04:00:00+00:00,2.1812,2.1883,2.1765,2.1797,3011492.8
2025-04-25 05:00:00+00:00,2.1797,2.191,2.1771,2.1808,3395719.7
2025-04-25 06:00:00+00:00,2.1808,2.2032,2.1788,2.1987,4022751.6
2025-04-25 07:00:00+00:00,2.1987,2.2042,2.1862,2.1947,5946608.3
2025-04-25 08:00:00+00:00,2.1948,2.1989,2.1878,2.1946,4202884.6
2025-04-25 09:00:00+00:00,2.1946,2.2088,2.1843,2.2082,5305496.0
2025-04-25 10:00:00+00:00,2.2081,2.2099,2.1855,2.1899,7102492.8
2025-04-25 11:00:00+00:00,2.1899,2.2097,2.1899,2.2044,5708454.5
2025-04-25 12:00:00+00:00,2.2043,2.2193,2.1873,2.1921,9164822.5
2025-04-25 13:00:00+00:00,2.1922,2.1986,2.1721,2.1828,7594840.3
2025-04-25 14:00:00+00:00,2.1828,2.2182,2.182,2.2115,11795377.3
2025-04-25 15:00:00+00:00,2.2115,2.219,2.1984,2.2005,10380590.3
2025-04-25 16:00:00+00:00,2.2004,2.2049,2.1854,2.2025,6744743.5
2025-04-25 17:00:00+00:00,2.2025,2.2097,2.183,2.1866,6832921.1
2025-04-25 18:00:00+00:00,2.1867,2.2014,2.1863,2.1911,3903083.4
